Phone Number,Messages,Phone Calls
330-555-0000,4,8
330-555-0001,13,9
330-555-0002,19,5
330-555-0003,20,7
330-555-0004,1,8
330-555-0005,13,1
330-555-0006,12,3
330-555-0007,12,9
330-555-0008,0,9
330-555-0009,0,5
330-555-0010,9,8
330-555-0011,9,3
330-555-0012,14,6
330-555-0013,16,8
330-555-0014,12,4
330-555-0015,14,6
330-555-0016,20,5
330-555-0017,9,4
330-555-0018,11,3
330-555-0019,6,3
330-555-0020,15,5
330-555-0021,18,10
330-555-0022,15,0
330-555-0023,8,10
330-555-0024,16,4
330-555-0025,19,2
330-555-0026,15,1
330-555-0027,19,0
330-555-0028,0,2
330-555-0029,18,6
330-555-0030,16,5
330-555-0031,18,5
330-555-0032,10,5
330-555-0033,11,8
330-555-0034,12,6
330-555-0035,17,2
330-555-0036,4,6
330-555-0037,2,3
330-555-0038,4,8
330-555-0039,9,1
330-555-0040,0,6
330-555-0041,12,2
330-555-0042,10,7
330-555-0043,9,2
330-555-0044,13,10
330-555-0045,17,7
330-555-0046,10,10
330-555-0047,10,9
330-555-0048,16,5
330-555-0049,14,9
330-555-0050,10,9
330-555-0051,3,0
330-555-0052,3,8
330-555-0053,3,2
330-555-0054,4,2
330-555-0055,16,3
330-555-0056,10,0
330-555-0057,5,2
330-555-0058,2,3
330-555-0059,14,3
330-555-0060,13,10
330-555-0061,13,5
330-555-0062,17,4
330-555-0063,19,8
330-555-0064,9,3
330-555-0065,17,5
330-555-0066,20,9
330-555-0067,20,5
330-555-0068,7,5
330-555-0069,16,3
330-555-0070,20,4
330-555-0071,15,9
330-555-0072,19,5
330-555-0073,7,3
330-555-0074,9,2
330-555-0075,16,10
330-555-0076,16,6
330-555-0077,19,8
330-555-0078,1,1
330-555-0079,2,2
330-555-0080,16,5
330-555-0081,11,8
330-555-0082,15,2
330-555-0083,18,0
330-555-0084,20,1
330-555-0085,6,2
330-555-0086,15,7
330-555-0087,12,8
330-555-0088,19,2
330-555-0089,6,0
330-555-0090,6,4
330-555-0091,1,1
330-555-0092,3,0
330-555-0093,11,5
330-555-0094,18,3
330-555-0095,15,2
330-555-0096,6,6
330-555-0097,5,3
330-555-0098,14,6
330-555-0099,0,3
330-555-0100,7,7
330-555-0101,1,3
330-555-0102,16,1
330-555-0103,0,7
330-555-0104,18,4
330-555-0105,11,10
330-555-0106,18,5
330-555-0107,1,7
330-555-0108,6,8
330-555-0109,18,4
330-555-0110,1,10
330-555-0111,13,7
330-555-0112,5,2
330-555-0113,14,8
330-555-0114,15,8
330-555-0115,14,5
330-555-0116,16,2
330-555-0117,9,3
330-555-0118,3,1
330-555-0119,7,4
330-555-0120,20,9
330-555-0121,4,5
330-555-0122,0,1
330-555-0123,0,3
330-555-0124,1,4
330-555-0125,13,4
330-555-0126,4,10
330-555-0127,20,8
330-555-0128,19,5
330-555-0129,19,6
330-555-0130,16,7
330-555-0131,2,6
330-555-0132,19,8
330-555-0133,13,7
330-555-0134,20,3
330-555-0135,11,5
330-555-0136,12,9
330-555-0137,0,5
330-555-0138,7,7
330-555-0139,16,1
330-555-0140,1,1
330-555-0141,5,3
330-555-0142,3,9
330-555-0143,0,0
330-555-0144,2,6
330-555-0145,14,7
330-555-0146,11,2
330-555-0147,7,7
330-555-0148,15,9
330-555-0149,15,9
330-555-0150,6,3
330-555-0151,9,6
330-555-0152,0,0
330-555-0153,11,4
330-555-0154,18,2
330-555-0155,1,3
330-555-0156,2,9
330-555-0157,9,4
330-555-0158,19,9
330-555-0159,6,7
330-555-0160,0,8
330-555-0161,14,9
330-555-0162,8,6
330-555-0163,13,6
330-555-0164,20,7
330-555-0165,10,0
330-555-0166,14,5
330-555-0167,7,2
330-555-0168,3,9
330-555-0169,5,3
330-555-0170,10,5
330-555-0171,1,8
330-555-0172,9,0
330-555-0173,17,0
330-555-0174,20,8
330-555-0175,8,4
330-555-0176,12,1
330-555-0177,1,6
330-555-0178,18,5
330-555-0179,9,6
330-555-0180,0,9
330-555-0181,15,3
330-555-0182,14,5
330-555-0183,18,7
330-555-0184,6,0
330-555-0185,18,2
330-555-0186,13,8
330-555-0187,2,8
330-555-0188,5,2
330-555-0189,18,6
330-555-0190,5,10
330-555-0191,10,7
330-555-0192,10,0
330-555-0193,2,8
330-555-0194,3,8
330-555-0195,14,6
330-555-0196,15,4
330-555-0197,4,9
330-555-0198,7,1
330-555-0199,14,8
330-555-0200,13,10
330-555-0201,3,2
330-555-0202,14,5
330-555-0203,18,2
330-555-0204,0,10
330-555-0205,5,9
330-555-0206,7,2
330-555-0207,13,9
330-555-0208,4,10
330-555-0209,0,8
330-555-0210,13,8
330-555-0211,19,6
330-555-0212,11,5
330-555-0213,15,7
330-555-0214,15,10
330-555-0215,15,3
330-555-0216,13,4
330-555-0217,8,2
330-555-0218,8,8
330-555-0219,15,5
330-555-0220,14,4
330-555-0221,3,2
330-555-0222,10,5
330-555-0223,6,0
330-555-0224,16,7
330-555-0225,10,0
330-555-0226,9,3
330-555-0227,4,10
330-555-0228,14,8
330-555-0229,17,10
330-555-0230,9,0
330-555-0231,10,10
330-555-0232,19,4
330-555-0233,9,1
330-555-0234,9,6
330-555-0235,12,0
330-555-0236,4,2
330-555-0237,17,3
330-555-0238,18,3
330-555-0239,10,1
330-555-0240,5,8
330-555-0241,6,7
330-555-0242,20,10
330-555-0243,18,6
330-555-0244,2,3
330-555-0245,16,1
330-555-0246,13,4
330-555-0247,7,10
330-555-0248,20,10
330-555-0249,13,2
330-555-0250,14,2
330-555-0251,2,2
330-555-0252,10,10
330-555-0253,18,4
330-555-0254,18,9
330-555-0255,5,6
330-555-0256,14,10
330-555-0257,5,7
330-555-0258,14,0
330-555-0259,18,9
330-555-0260,4,4
330-555-0261,16,9
330-555-0262,20,3
330-555-0263,19,2
330-555-0264,11,3
330-555-0265,11,2
330-555-0266,19,7
330-555-0267,18,7
330-555-0268,9,1
330-555-0269,1,1
330-555-0270,8,4
330-555-0271,6,5
330-555-0272,14,8
330-555-0273,9,6
330-555-0274,12,3
330-555-0275,19,0
330-555-0276,18,1
330-555-0277,10,3
330-555-0278,11,9
330-555-0279,6,5
330-555-0280,1,9
330-555-0281,5,0
330-555-0282,3,10
330-555-0283,6,0
330-555-0284,4,6
330-555-0285,2,9
330-555-0286,4,1
330-555-0287,11,6
330-555-0288,4,1
330-555-0289,1,4
330-555-0290,5,5
330-555-0291,19,5
330-555-0292,18,9
330-555-0293,5,5
330-555-0294,16,7
330-555-0295,13,3
330-555-0296,15,1
330-555-0297,3,9
330-555-0298,7,7
330-555-0299,4,5
330-555-0300,18,9
330-555-0301,16,6
330-555-0302,11,1
330-555-0303,14,7
330-555-0304,18,0
330-555-0305,1,0
330-555-0306,15,8
330-555-0307,18,8
330-555-0308,20,3
330-555-0309,10,10
330-555-0310,14,5
330-555-0311,11,6
330-555-0312,0,7
330-555-0313,2,5
330-555-0314,15,9
330-555-0315,20,3
330-555-0316,3,3
330-555-0317,18,5
330-555-0318,0,8
330-555-0319,2,0
330-555-0320,6,4
330-555-0321,8,7
330-555-0322,7,8
330-555-0323,8,10
330-555-0324,15,9
330-555-0325,18,6
330-555-0326,12,5
330-555-0327,3,5
330-555-0328,0,2
330-555-0329,18,9
330-555-0330,11,1
330-555-0331,13,4
330-555-0332,9,10
330-555-0333,6,6
330-555-0334,12,1
330-555-0335,15,3
330-555-0336,9,4
330-555-0337,16,9
330-555-0338,9,4
330-555-0339,6,5
330-555-0340,1,9
330-555-0341,4,4
330-555-0342,5,10
330-555-0343,4,10
330-555-0344,11,1
330-555-0345,8,4
330-555-0346,13,3
330-555-0347,10,8
330-555-0348,0,8
330-555-0349,3,5
330-555-0350,16,2
330-555-0351,5,7
330-555-0352,17,1
330-555-0353,19,8
330-555-0354,11,4
330-555-0355,0,9
330-555-0356,1,1
330-555-0357,20,1
330-555-0358,17,0
330-555-0359,16,9
330-555-0360,7,6
330-555-0361,20,10
330-555-0362,19,9
330-555-0363,13,1
330-555-0364,3,9
330-555-0365,2,8
330-555-0366,7,2
330-555-0367,8,9
330-555-0368,4,1
330-555-0369,16,1
330-555-0370,3,3
330-555-0371,14,8
330-555-0372,8,4
330-555-0373,3,6
330-555-0374,14,2
330-555-0375,18,3
330-555-0376,15,3
330-555-0377,20,1
330-555-0378,14,8
330-555-0379,0,1
330-555-0380,9,9
330-555-0381,17,1
330-555-0382,7,3
330-555-0383,14,2
330-555-0384,9,0
330-555-0385,3,5
330-555-0386,2,4
330-555-0387,9,1
330-555-0388,14,7
330-555-0389,4,7
330-555-0390,7,4
330-555-0391,5,3
330-555-0392,15,9
330-555-0393,6,6
330-555-0394,14,10
330-555-0395,7,10
330-555-0396,14,3
330-555-0397,6,5
330-555-0398,12,7
330-555-0399,19,2
330-555-0400,7,10
330-555-0401,14,1
330-555-0402,18,9
330-555-0403,7,7
330-555-0404,8,4
330-555-0405,0,0
330-555-0406,18,7
330-555-0407,10,5
330-555-0408,5,4
330-555-0409,9,0
330-555-0410,11,9
330-555-0411,17,8
330-555-0412,12,8
330-555-0413,1,6
330-555-0414,6,4
330-555-0415,11,3
330-555-0416,13,8
330-555-0417,16,5
330-555-0418,10,9
330-555-0419,9,2
330-555-0420,5,10
330-555-0421,8,8
330-555-0422,6,9
330-555-0423,11,9
330-555-0424,7,8
330-555-0425,17,0
330-555-0426,18,7
330-555-0427,18,2
330-555-0428,3,10
330-555-0429,18,4
330-555-0430,11,8
330-555-0431,7,10
330-555-0432,2,10
330-555-0433,4,6
330-555-0434,20,10
330-555-0435,15,1
330-555-0436,14,7
330-555-0437,6,1
330-555-0438,6,2
330-555-0439,2,1
330-555-0440,4,5
330-555-0441,17,9
330-555-0442,0,3
330-555-0443,1,1
330-555-0444,17,7
330-555-0445,3,10
330-555-0446,0,9
330-555-0447,11,4
330-555-0448,0,1
330-555-0449,17,3
330-555-0450,0,9
330-555-0451,7,10
330-555-0452,12,3
330-555-0453,7,2
330-555-0454,16,9
330-555-0455,7,0
330-555-0456,19,8
330-555-0457,13,8
330-555-0458,15,8
330-555-0459,4,3
330-555-0460,16,5
330-555-0461,4,6
330-555-0462,18,9
330-555-0463,15,5
330-555-0464,16,8
330-555-0465,13,4
330-555-0466,15,0
330-555-0467,3,4
330-555-0468,10,5
330-555-0469,19,10
330-555-0470,2,8
330-555-0471,19,7
330-555-0472,0,0
330-555-0473,14,1
330-555-0474,6,6
330-555-0475,15,3
330-555-0476,19,8
330-555-0477,3,3
330-555-0478,7,0
330-555-0479,9,6
330-555-0480,3,6
330-555-0481,11,6
330-555-0482,4,0
330-555-0483,7,10
330-555-0484,12,3
330-555-0485,9,9
330-555-0486,19,7
330-555-0487,7,7
330-555-0488,19,2
330-555-0489,20,9
330-555-0490,17,6
330-555-0491,10,7
330-555-0492,7,2
330-555-0493,0,3
330-555-0494,1,6
330-555-0495,1,7
330-555-0496,0,3
330-555-0497,3,0
330-555-0498,5,3
330-555-0499,1,1
330-555-0500,10,3
330-555-0501,3,1
330-555-0502,10,4
330-555-0503,8,10
330-555-0504,19,0
330-555-0505,11,10
330-555-0506,7,8
330-555-0507,13,1
330-555-0508,19,5
330-555-0509,8,9
330-555-0510,5,4
330-555-0511,6,1
330-555-0512,13,5
330-555-0513,10,2
330-555-0514,1,4
330-555-0515,15,1
330-555-0516,8,1
330-555-0517,0,10
330-555-0518,11,4
330-555-0519,17,4
330-555-0520,15,8
330-555-0521,15,3
330-555-0522,11,5
330-555-0523,6,2
330-555-0524,13,10
330-555-0525,8,3
330-555-0526,14,10
330-555-0527,3,6
330-555-0528,9,2
330-555-0529,6,9
330-555-0530,14,5
330-555-0531,11,8
330-555-0532,15,2
330-555-0533,8,0
330-555-0534,13,9
330-555-0535,14,8
330-555-0536,2,10
330-555-0537,10,2
330-555-0538,4,9
330-555-0539,14,10
330-555-0540,14,6
330-555-0541,3,5
330-555-0542,2,2
330-555-0543,14,5
330-555-0544,2,5
330-555-0545,0,8
330-555-0546,18,10
330-555-0547,13,3
330-555-0548,1,3
330-555-0549,11,4
330-555-0550,8,1
330-555-0551,8,3
330-555-0552,17,4
330-555-0553,9,8
330-555-0554,2,4
330-555-0555,20,3
330-555-0556,17,1
330-555-0557,19,1
330-555-0558,7,8
330-555-0559,0,4
330-555-0560,9,9
330-555-0561,12,8
330-555-0562,1,8
330-555-0563,14,9
330-555-0564,15,9
330-555-0565,3,10
330-555-0566,9,7
330-555-0567,5,2
330-555-0568,10,8
330-555-0569,10,6
330-555-0570,7,7
330-555-0571,8,4
330-555-0572,2,4
330-555-0573,6,1
330-555-0574,15,1
330-555-0575,3,8
330-555-0576,16,2
330-555-0577,3,1
330-555-0578,7,0
330-555-0579,4,8
330-555-0580,2,3
330-555-0581,12,2
330-555-0582,19,0
330-555-0583,15,1
330-555-0584,20,5
330-555-0585,16,6
330-555-0586,20,2
330-555-0587,13,6
330-555-0588,3,1
330-555-0589,9,2
330-555-0590,14,7
330-555-0591,8,1
